::ffff:127.0.0.1 - - [06/Aug/2020:20:39:13 +0000] "GET /humans.txt HTTP/1.1" 404 149 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [06/Aug/2020:20:39:14 +0000] "GET /ads.txt HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [06/Aug/2020:20:39:14 +0000] "GET / HTTP/1.1" 200 60190 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [06/Aug/2020:21:05:41 +0000] "GET /hudson HTTP/1.1" 404 145 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [06/Aug/2020:21:17:52 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:21:17:53 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:21:17:53 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:21:17:53 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:21:17:53 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:21:17:53 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:21:17:53 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:21:17:53 +0000] "GET / HTTP/1.1" 200 60190 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:21:17:53 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:21:17:53 +0000] "GET /latest/dynamic/instance-identity/document HTTP/1.1" 404 180 "-" "AWS Security Scanner"
::ffff:127.0.0.1 - - [06/Aug/2020:22:07:30 +0000] "GET /?fbclid=IwAR39zty5SurXtoLmbDs1d7itObiwnMToJYQUpo6lcKi16s9-lKh2Ze2RnsQ HTTP/1.1" 200 60190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:22:07:33 +0000] "GET /web_assets/assets/css/bootstrap.min.css HTTP/1.1" 200 144877 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:22:07:33 +0000] "GET /web_assets/assets/css/slick.css HTTP/1.1" 200 1776 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:22:07:33 +0000] "GET /web_assets/assets/css/slick-theme.css HTTP/1.1" 200 3294 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:22:07:33 +0000] "GET /web_assets/assets/css/material-form.css HTTP/1.1" 200 2264 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
::ffff:127.0.0.1 - - [06/Aug/2020:22:07:33 +0000] "GET /web_assets/assets/fonts/fonts.css HTTP/1.1" 200 1444 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36"
